content,category
The camera quality feature isn't working on my camera.,technical_support
I'd like to cancel my order and receive a full refund.,refund_request
Can you tell me more about the specifications feature?,product_information
I'm having trouble turn on with my headphones.,technical_support
The price feature isn't working on my camera.,technical_support
I want to return my laptop and get a refund.,refund_request
The dimensions feature isn't working on my printer.,technical_support
I'm having trouble sync with my smartwatch.,technical_support
The warranty feature isn't working on my smartwatch.,technical_support
The battery life feature isn't working on my camera.,technical_support
Can I update my payment method?,account_inquiry
What's the difference between smartwatch and smartwatch?,product_information
How do I change my account?,account_inquiry
How do I charge on my laptop?,technical_support
I want to return my printer and get a refund.,refund_request
I've been waiting over a week for replacement and still nothing!,complaint
The phone arrived damaged. I need a refund please.,refund_request
I'm having trouble update with my smartwatch.,technical_support
I've been waiting too long for replacement and still nothing!,complaint
I'd like to cancel my order and receive a full refund.,refund_request
I forgot my password. Can you help me reset it?,account_inquiry
My headphones won't connect. Can you help?,technical_support
I keep getting an error when trying to connect.,technical_support
The price feature isn't working on my smartwatch.,technical_support
My tablet won't connect. Can you help?,technical_support
I want to return my headphones and get a refund.,refund_request
I'm very disappointed with product quality.,complaint
This is unacceptable. The product quality is terrible.,complaint
The laptop arrived damaged. I need a refund please.,refund_request
The laptop arrived damaged. I need a refund please.,refund_request
Can you tell me more about the camera quality feature?,product_information
When does my service renew?,account_inquiry
I've been waiting 2 weeks for order and still nothing!,complaint
I want to return my printer and get a refund.,refund_request
What are the price of the phone?,product_information
I forgot my password. Can you help me reset it?,account_inquiry
I keep getting an error when trying to charge.,technical_support
Is the camera compatible with smartwatch?,product_information
I want to return my phone and get a refund.,refund_request
I'm very disappointed with product quality.,complaint
Your delivery time is the worst I've experienced.,complaint
This is unacceptable. The product quality is terrible.,complaint
How do I install on my laptop?,technical_support
I'm very disappointed with delivery time.,complaint
Is the headphones compatible with tablet?,product_information
I want to return my camera and get a refund.,refund_request
How do I verify my account?,account_inquiry
Is the headphones compatible with camera?,product_information
I forgot my password. Can you help me reset it?,account_inquiry
I'm having trouble sync with my phone.,technical_support
How do I check my account settings?,account_inquiry
I'd like to cancel my order and receive a full refund.,refund_request
I've been waiting over a week for refund and still nothing!,complaint
My tablet won't turn on. Can you help?,technical_support
The dimensions feature isn't working on my tablet.,technical_support
The specifications feature isn't working on my printer.,technical_support
What are the dimensions of the printer?,product_information
I've been waiting a month for refund and still nothing!,complaint
How do I install on my smartwatch?,technical_support
I'm filing a complaint about service.,complaint
Can I get my money back for camera? It doesn't work properly.,refund_request
I keep getting an error when trying to install.,technical_support
I keep getting an error when trying to charge.,technical_support
I'm very disappointed with product quality.,complaint
My tablet won't connect. Can you help?,technical_support
The printer arrived damaged. I need a refund please.,refund_request
I'm filing a complaint about product quality.,complaint
The printer arrived damaged. I need a refund please.,refund_request
My camera won't install. Can you help?,technical_support
I'm having trouble turn on with my laptop.,technical_support
I want to return my printer and get a refund.,refund_request
This is unacceptable. The product quality is terrible.,complaint
Your service is the worst I've experienced.,complaint
When does my membership renew?,account_inquiry
Does the tablet come with manual?,product_information
I'd like to cancel my order and receive a full refund.,refund_request
I keep getting an error when trying to download.,technical_support
Can you tell me more about the price feature?,product_information
Your service is the worst I've experienced.,complaint
The battery life feature isn't working on my camera.,technical_support
My printer won't charge. Can you help?,technical_support
How do I connect on my tablet?,technical_support
I'd like to cancel my order and receive a full refund.,refund_request
The price feature isn't working on my phone.,technical_support
Can you tell me more about the battery life feature?,product_information
I'm filing a complaint about delivery time.,complaint
What are the price of the phone?,product_information
My camera won't connect. Can you help?,technical_support
I'm very disappointed with delivery time.,complaint
Can you tell me more about the specifications feature?,product_information
I've been waiting 3 days for replacement and still nothing!,complaint
The camera arrived damaged. I need a refund please.,refund_request
What are the specifications of the phone?,product_information
I keep getting an error when trying to download.,technical_support
When does my plan renew?,account_inquiry
I forgot my password. Can you help me reset it?,account_inquiry
The tablet arrived damaged. I need a refund please.,refund_request
I'd like to cancel my order and receive a full refund.,refund_request
I want to return my laptop and get a refund.,refund_request
Is the phone compatible with headphones?,product_information
I've been waiting 2 weeks for order and still nothing!,complaint
I'd like to cancel my order and receive a full refund.,refund_request
I'm very disappointed with service.,complaint
When does my service renew?,account_inquiry
When does my plan renew?,account_inquiry
Is the phone compatible with camera?,product_information
Can I update my payment method?,account_inquiry
Does the laptop come with manual?,product_information
The printer arrived damaged. I need a refund please.,refund_request
I've been waiting 3 days for response and still nothing!,complaint
I've been waiting too long for order and still nothing!,complaint
How do I check my account history?,account_inquiry
How do I check my account settings?,account_inquiry
How do I request a refund for order #65007?,refund_request
I forgot my password. Can you help me reset it?,account_inquiry
This is unacceptable. The service is terrible.,complaint
How do I connect on my tablet?,technical_support
Is the smartwatch compatible with headphones?,product_information
Is the headphones compatible with phone?,product_information
How do I check my account history?,account_inquiry
The tablet arrived damaged. I need a refund please.,refund_request
I'd like to cancel my order and receive a full refund.,refund_request
The camera quality feature isn't working on my camera.,technical_support
I'd like to cancel my order and receive a full refund.,refund_request
My phone won't turn on. Can you help?,technical_support
I've been waiting over a week for refund and still nothing!,complaint
I'm very disappointed with packaging.,complaint
My phone won't install. Can you help?,technical_support
What are the battery life of the camera?,product_information
Does the camera come with warranty?,product_information
I'd like to cancel my order and receive a full refund.,refund_request
Can I update my email address?,account_inquiry
How do I update on my camera?,technical_support
How do I request a refund for order #70801?,refund_request
What are the price of the laptop?,product_information
My printer won't install. Can you help?,technical_support
Can I get my money back for laptop? It doesn't work properly.,refund_request
What are the price of the headphones?,product_information
I keep getting an error when trying to sync.,technical_support
Can I get my money back for phone? It doesn't work properly.,refund_request
I'd like to cancel my order and receive a full refund.,refund_request
The headphones arrived damaged. I need a refund please.,refund_request
My headphones won't download. Can you help?,technical_support
This is unacceptable. The product quality is terrible.,complaint
Your product quality is the worst I've experienced.,complaint
I'm very disappointed with product quality.,complaint
How do I check my account settings?,account_inquiry
What's the difference between camera and camera?,product_information
How do I verify my account?,account_inquiry
How do I delete my account?,account_inquiry
What are the price of the printer?,product_information
I've been waiting 2 weeks for response and still nothing!,complaint
I want to return my tablet and get a refund.,refund_request
I'd like to cancel my order and receive a full refund.,refund_request
How do I connect on my tablet?,technical_support
My camera won't update. Can you help?,technical_support
How do I request a refund for order #11760?,refund_request
I'd like to cancel my order and receive a full refund.,refund_request
I'm filing a complaint about delivery time.,complaint
What are the dimensions of the phone?,product_information
Can you tell me more about the dimensions feature?,product_information
I'm filing a complaint about customer support.,complaint
I've been waiting a month for replacement and still nothing!,complaint
I keep getting an error when trying to install.,technical_support
Your product quality is the worst I've experienced.,complaint
I forgot my password. Can you help me reset it?,account_inquiry
Is the phone compatible with smartwatch?,product_information
I'm filing a complaint about delivery time.,complaint
The headphones arrived damaged. I need a refund please.,refund_request
Can I update my preferences?,account_inquiry
Can I update my preferences?,account_inquiry
I'd like to cancel my order and receive a full refund.,refund_request
I'm filing a complaint about delivery time.,complaint
I've been waiting a month for replacement and still nothing!,complaint
My laptop won't install. Can you help?,technical_support
I'm having trouble charge with my printer.,technical_support
Does the phone come with case?,product_information
How do I turn on on my tablet?,technical_support
Can I get my money back for phone? It doesn't work properly.,refund_request
I want to return my printer and get a refund.,refund_request
The laptop arrived damaged. I need a refund please.,refund_request
How do I change my account?,account_inquiry
My smartwatch won't install. Can you help?,technical_support
The price feature isn't working on my tablet.,technical_support
I forgot my password. Can you help me reset it?,account_inquiry
When does my subscription renew?,account_inquiry
When does my subscription renew?,account_inquiry
How do I request a refund for order #70989?,refund_request
What's the difference between tablet and printer?,product_information
What are the battery life of the camera?,product_information
How do I access my account?,account_inquiry
Can you tell me more about the warranty feature?,product_information
This is unacceptable. The delivery time is terrible.,complaint
This is unacceptable. The packaging is terrible.,complaint
What are the specifications of the printer?,product_information
Does the smartwatch come with manual?,product_information
Can I get my money back for headphones? It doesn't work properly.,refund_request
When does my service renew?,account_inquiry
Can I update my shipping address?,account_inquiry
What's the difference between tablet and tablet?,product_information
How do I verify my account?,account_inquiry
The phone arrived damaged. I need a refund please.,refund_request
I'm having trouble update with my laptop.,technical_support
I keep getting an error when trying to charge.,technical_support
My phone won't connect. Can you help?,technical_support
How do I update on my phone?,technical_support
The price feature isn't working on my camera.,technical_support
I'm very disappointed with customer support.,complaint
How do I request a refund for order #79027?,refund_request
The camera arrived damaged. I need a refund please.,refund_request
I'm having trouble download with my printer.,technical_support
How do I access my account?,account_inquiry
I forgot my password. Can you help me reset it?,account_inquiry
I'd like to cancel my order and receive a full refund.,refund_request
I'm very disappointed with customer support.,complaint
Can I get my money back for laptop? It doesn't work properly.,refund_request
The printer arrived damaged. I need a refund please.,refund_request
I've been waiting over a week for refund and still nothing!,complaint
What are the battery life of the laptop?,product_information
How do I change my account?,account_inquiry
Can I update my payment method?,account_inquiry
What's the difference between tablet and headphones?,product_information
I keep getting an error when trying to charge.,technical_support
How do I sync on my camera?,technical_support
The warranty feature isn't working on my printer.,technical_support
Is the printer compatible with laptop?,product_information
What's the difference between smartwatch and headphones?,product_information
Is the tablet compatible with camera?,product_information
I'm filing a complaint about customer support.,complaint
I'd like to cancel my order and receive a full refund.,refund_request
How do I request a refund for order #37942?,refund_request
I want to return my camera and get a refund.,refund_request
I've been waiting 2 weeks for refund and still nothing!,complaint
Can you tell me more about the battery life feature?,product_information
How do I check my account settings?,account_inquiry
I've been waiting a month for response and still nothing!,complaint
I'm filing a complaint about product quality.,complaint
I'm very disappointed with packaging.,complaint
Is the laptop compatible with phone?,product_information
How do I delete my account?,account_inquiry
Can you tell me more about the dimensions feature?,product_information
I've been waiting too long for refund and still nothing!,complaint
I'm having trouble charge with my printer.,technical_support
How do I check my account status?,account_inquiry
I keep getting an error when trying to connect.,technical_support
Can I update my payment method?,account_inquiry
I've been waiting 2 weeks for response and still nothing!,complaint
Can I update my preferences?,account_inquiry
How do I update my account?,account_inquiry
I want to return my tablet and get a refund.,refund_request
Is the smartwatch compatible with printer?,product_information
This is unacceptable. The customer support is terrible.,complaint
How do I update on my tablet?,technical_support
I'm very disappointed with packaging.,complaint
This is unacceptable. The service is terrible.,complaint
How do I check my account settings?,account_inquiry
I forgot my password. Can you help me reset it?,account_inquiry
I keep getting an error when trying to sync.,technical_support
I'm having trouble sync with my smartwatch.,technical_support
What's the difference between camera and camera?,product_information
Can you tell me more about the warranty feature?,product_information
When does my membership renew?,account_inquiry
Does the camera come with cables?,product_information
The camera quality feature isn't working on my tablet.,technical_support
I've been waiting 2 weeks for response and still nothing!,complaint
I'm having trouble install with my smartwatch.,technical_support
Does the smartwatch come with warranty?,product_information
I forgot my password. Can you help me reset it?,account_inquiry
I want to return my headphones and get a refund.,refund_request
I keep getting an error when trying to charge.,technical_support
When does my plan renew?,account_inquiry
I'm having trouble sync with my smartwatch.,technical_support
I keep getting an error when trying to charge.,technical_support
I'm filing a complaint about service.,complaint
Can I update my payment method?,account_inquiry
How do I delete my account?,account_inquiry
I'd like to cancel my order and receive a full refund.,refund_request
The battery life feature isn't working on my phone.,technical_support
This is unacceptable. The packaging is terrible.,complaint
I'm having trouble sync with my laptop.,technical_support
I keep getting an error when trying to connect.,technical_support
