content,category
Reminder: the meeting is scheduled for Monday at 3:30pm.,ham
"Hey, are you free for coffee this next week?",ham
You have 2500 unclaimed. Click here: bit.ly/xyz123,spam
Thanks for your time. Really appreciate it!,ham
You have 750 unclaimed. Click here: tinyurl.com/abc,spam
Looking forward to seeing you at the meeting!,ham
Reminder: the conference is scheduled for Monday at noon.,ham
Happy birthday! Hope you have a great day.,ham
You have 5000 unclaimed. Click here: claim-now.net,spam
Looking forward to seeing you at the meeting!,ham
Please review the contract when you get a chance.,ham
Looking forward to seeing you at dinner!,ham
Can you pick up the package on your way home?,ham
"Hey, are you free for a movie this Friday?",ham
Meeting scheduled for 10am tomorrow. See you there!,ham
Looking forward to seeing you at the party!,ham
ALERT: Suspicious activity on your credit card. Confirm identity at claim-now.net.,spam
Thanks for your time. Really appreciate it!,ham
FREE laptop! Limited time offer. Text WIN to 555-0100 now!,spam
Happy Monday! Hope you have a great day.,ham
WINNER! You've won $750! Click secure-verify.com to claim your prize NOW!,spam
ALERT: Suspicious activity on your credit card. Confirm identity at claim-now.net.,spam
Hot singles in your area! Click bit.ly/xyz123 to meet them today!,spam
You have 1000 unclaimed. Click here: tinyurl.com/abc,spam
Looking forward to seeing you at the meeting!,ham
Hot singles in your area! Click claim-now.net to meet them today!,spam
Reminder: dinner is scheduled for Monday at 10am.,ham
ALERT: Suspicious activity on your bank account. Confirm identity at tinyurl.com/abc.,spam
Please review the proposal when you get a chance.,ham
ALERT: Suspicious activity on your credit card. Confirm identity at claim-now.net.,spam
Looking forward to seeing you at the party!,ham
Can you pick up milk on your way home?,ham
Thanks for the suggestion. Really appreciate it!,ham
Get vacation for only $1000! Offer expires soon. Order at claim-now.net.,spam
Just finished lunch. How did yours go?,ham
Congratulations! You've been selected for a free iPhone. Reply with credit card to confirm.,spam
Happy anniversary! Hope you have a great day.,ham
Looking forward to seeing you at the meeting!,ham
Reminder: the meeting is scheduled for Tuesday at noon.,ham
"Hey, are you free for coffee this Friday?",ham
Congratulations! You've been selected for a gift card. Reply with bank details to confirm.,spam
URGENT: Your bank account has been suspended. Verify at claim-now.net immediately.,spam
"Hey, are you free for a movie this Tuesday?",ham
Please review the proposal when you get a chance.,ham
Just finished a movie. How did yours go?,ham
FREE gift card! Limited time offer. Text CLAIM to 88888 now!,spam
URGENT: Your PayPal account has been locked. Verify at secure-verify.com immediately.,spam
WINNER! You've won $5000! Click bit.ly/xyz123 to claim your prize NOW!,spam
Meeting scheduled for 2pm tomorrow. See you there!,ham
"Hey, are you free for dinner this next week?",ham
URGENT: Your bank account has been compromised. Verify at bit.ly/xyz123 immediately.,spam
You have 5000 unclaimed. Click here: claim-now.net,spam
Reminder: dinner is scheduled for next week at 10am.,ham
Just finished a movie. How did yours go?,ham
WINNER! You've won $10000! Click claim-now.net to claim your prize NOW!,spam
"Hey, are you free for lunch this Tuesday?",ham
Can you pick up dinner on your way home?,ham
Hot singles in your area! Click claim-now.net to meet them today!,spam
Your loan has been approved for $500! Call 555-0100 now.,spam
Happy birthday! Hope you have a great day.,ham
The report is ready. I'll send it by 2pm.,ham
Get iPhone for only $500! Offer expires soon. Order at bit.ly/xyz123.,spam
WINNER! You've won $500! Click claim-now.net to claim your prize NOW!,spam
Thanks for helping. Really appreciate it!,ham
Looking forward to seeing you at the party!,ham
Looking forward to seeing you at the meeting!,ham
Make $2500 from home! gift card. Visit secure-verify.com for details.,spam
Get laptop for only $1000! Offer expires soon. Order at claim-now.net.,spam
Please review the proposal when you get a chance.,ham
Can you pick up dinner on your way home?,ham
Make $750 from home! free iPhone. Visit secure-verify.com for details.,spam
Meeting scheduled for 2pm tomorrow. See you there!,ham
ALERT: Suspicious activity on your credit card. Confirm identity at secure-verify.com.,spam
Can you pick up dinner on your way home?,ham
Looking forward to seeing you at dinner!,ham
ALERT: Suspicious activity on your PayPal account. Confirm identity at tinyurl.com/abc.,spam
Hot singles in your area! Click secure-verify.com to meet them today!,spam
Looking forward to seeing you at the conference!,ham
The report is ready. I'll send it by 3:30pm.,ham
Congratulations! You've been selected for a vacation package. Reply with credit card to confirm.,spam
Meeting scheduled for 3:30pm tomorrow. See you there!,ham
You have 2500 unclaimed. Click here: secure-verify.com,spam
WINNER! You've won $1000! Click bit.ly/xyz123 to claim your prize NOW!,spam
Happy birthday! Hope you have a great day.,ham
FREE gift card! Limited time offer. Text CLAIM to 12345 now!,spam
Thanks for the suggestion. Really appreciate it!,ham
Your loan has been approved for $500! Call 88888 now.,spam
Make $5000 from home! vacation package. Visit secure-verify.com for details.,spam
Hot singles in your area! Click bit.ly/xyz123 to meet them today!,spam
ALERT: Suspicious activity on your bank account. Confirm identity at secure-verify.com.,spam
Make $2500 from home! free iPhone. Visit claim-now.net for details.,spam
Make $10000 from home! gift card. Visit claim-now.net for details.,spam
FREE laptop! Limited time offer. Text CLAIM to 88888 now!,spam
The report is ready. I'll send it by 3:30pm.,ham
"Hey, are you free for coffee this Tuesday?",ham
Thanks for the suggestion. Really appreciate it!,ham
Reminder: the party is scheduled for the weekend at 2pm.,ham
Congratulations! You've been selected for a cash reward. Reply with credit card to confirm.,spam
Looking forward to seeing you at the meeting!,ham
ALERT: Suspicious activity on your email account. Confirm identity at secure-verify.com.,spam
Happy Monday! Hope you have a great day.,ham
Get gift card for only $750! Offer expires soon. Order at secure-verify.com.,spam
WINNER! You've won $750! Click tinyurl.com/abc to claim your prize NOW!,spam
URGENT: Your bank account has been locked. Verify at secure-verify.com immediately.,spam
WINNER! You've won $5000! Click bit.ly/xyz123 to claim your prize NOW!,spam
Just finished dinner. How did yours go?,ham
Please review the budget when you get a chance.,ham
"Hey, are you free for lunch this Monday?",ham
Meeting scheduled for 2pm tomorrow. See you there!,ham
Your loan has been approved for $750! Call 12345 now.,spam
The report is ready. I'll send it by noon.,ham
Reminder: the conference is scheduled for Friday at 2pm.,ham
You have 500 unclaimed. Click here: claim-now.net,spam
Get iPhone for only $750! Offer expires soon. Order at bit.ly/xyz123.,spam
You have 750 unclaimed. Click here: claim-now.net,spam
Looking forward to seeing you at the meeting!,ham
Congratulations! You've been selected for a vacation package. Reply with bank details to confirm.,spam
Happy Monday! Hope you have a great day.,ham
"Hey, are you free for a movie this next week?",ham
"Hey, are you free for coffee this Friday?",ham
Looking forward to seeing you at the party!,ham
Please review the presentation when you get a chance.,ham
ALERT: Suspicious activity on your credit card. Confirm identity at bit.ly/xyz123.,spam
Reminder: the meeting is scheduled for the weekend at noon.,ham
ALERT: Suspicious activity on your bank account. Confirm identity at secure-verify.com.,spam
Happy birthday! Hope you have a great day.,ham
Reminder: the conference is scheduled for Tuesday at 3:30pm.,ham
Your loan has been approved for $10000! Call 88888 now.,spam
Hot singles in your area! Click claim-now.net to meet them today!,spam
Looking forward to seeing you at dinner!,ham
ALERT: Suspicious activity on your PayPal account. Confirm identity at secure-verify.com.,spam
Looking forward to seeing you at the meeting!,ham
"Hey, are you free for coffee this Friday?",ham
ALERT: Suspicious activity on your email account. Confirm identity at claim-now.net.,spam
FREE laptop! Limited time offer. Text YES to 88888 now!,spam
Can you pick up groceries on your way home?,ham
Hot singles in your area! Click tinyurl.com/abc to meet them today!,spam
WINNER! You've won $750! Click bit.ly/xyz123 to claim your prize NOW!,spam
ALERT: Suspicious activity on your bank account. Confirm identity at bit.ly/xyz123.,spam
Just finished a movie. How did yours go?,ham
URGENT: Your credit card has been locked. Verify at claim-now.net immediately.,spam
Get vacation for only $10000! Offer expires soon. Order at secure-verify.com.,spam
Can you pick up dinner on your way home?,ham
FREE vacation! Limited time offer. Text WIN to 12345 now!,spam
Get vacation for only $1000! Offer expires soon. Order at tinyurl.com/abc.,spam
Please review the budget when you get a chance.,ham
Congratulations! You've been selected for a free iPhone. Reply with bank details to confirm.,spam
"Hey, are you free for lunch this next week?",ham
Hot singles in your area! Click tinyurl.com/abc to meet them today!,spam
Happy Monday! Hope you have a great day.,ham
ALERT: Suspicious activity on your bank account. Confirm identity at claim-now.net.,spam
Hot singles in your area! Click claim-now.net to meet them today!,spam
FREE iPhone! Limited time offer. Text CONFIRM to 555-0100 now!,spam
URGENT: Your bank account has been flagged. Verify at bit.ly/xyz123 immediately.,spam
WINNER! You've won $2500! Click bit.ly/xyz123 to claim your prize NOW!,spam
WINNER! You've won $750! Click claim-now.net to claim your prize NOW!,spam
FREE laptop! Limited time offer. Text YES to 88888 now!,spam
The report is ready. I'll send it by 2pm.,ham
FREE iPhone! Limited time offer. Text WIN to 555-0100 now!,spam
Reminder: the conference is scheduled for Tuesday at noon.,ham
ALERT: Suspicious activity on your credit card. Confirm identity at bit.ly/xyz123.,spam
FREE vacation! Limited time offer. Text YES to 555-0100 now!,spam
Just finished a movie. How did yours go?,ham
Just finished dinner. How did yours go?,ham
Congratulations! You've been selected for a cash reward. Reply with bank details to confirm.,spam
Reminder: dinner is scheduled for next week at 2pm.,ham
The report is ready. I'll send it by 3:30pm.,ham
Get gift card for only $5000! Offer expires soon. Order at bit.ly/xyz123.,spam
ALERT: Suspicious activity on your email account. Confirm identity at bit.ly/xyz123.,spam
Reminder: the party is scheduled for Monday at 10am.,ham
Get gift card for only $10000! Offer expires soon. Order at bit.ly/xyz123.,spam
Can you pick up milk on your way home?,ham
The report is ready. I'll send it by 2pm.,ham
Reminder: the meeting is scheduled for next week at noon.,ham
You have 500 unclaimed. Click here: secure-verify.com,spam
"Hey, are you free for lunch this Friday?",ham
You have 750 unclaimed. Click here: secure-verify.com,spam
You have 1000 unclaimed. Click here: secure-verify.com,spam
The report is ready. I'll send it by 3:30pm.,ham
You have 1000 unclaimed. Click here: bit.ly/xyz123,spam
Happy anniversary! Hope you have a great day.,ham
Congratulations! You've been selected for a gift card. Reply with bank details to confirm.,spam
ALERT: Suspicious activity on your email account. Confirm identity at secure-verify.com.,spam
Hot singles in your area! Click claim-now.net to meet them today!,spam
URGENT: Your email account has been suspended. Verify at secure-verify.com immediately.,spam
Meeting scheduled for noon tomorrow. See you there!,ham
Just finished dinner. How did yours go?,ham
Please review the proposal when you get a chance.,ham
Congratulations! You've been selected for a cash reward. Reply with account number to confirm.,spam
ALERT: Suspicious activity on your PayPal account. Confirm identity at secure-verify.com.,spam
ALERT: Suspicious activity on your PayPal account. Confirm identity at bit.ly/xyz123.,spam
Looking forward to seeing you at the conference!,ham
Can you pick up dinner on your way home?,ham
Your loan has been approved for $500! Call 555-0100 now.,spam
You have 2500 unclaimed. Click here: claim-now.net,spam
Reminder: the meeting is scheduled for Friday at 10am.,ham
Meeting scheduled for 3:30pm tomorrow. See you there!,ham
Thanks for helping. Really appreciate it!,ham
"Hey, are you free for lunch this the weekend?",ham
Your loan has been approved for $1000! Call 555-0100 now.,spam
"Hey, are you free for lunch this next week?",ham
Thanks for your time. Really appreciate it!,ham
ALERT: Suspicious activity on your email account. Confirm identity at bit.ly/xyz123.,spam
URGENT: Your credit card has been flagged. Verify at secure-verify.com immediately.,spam
Your loan has been approved for $750! Call 555-0100 now.,spam
WINNER! You've won $2500! Click secure-verify.com to claim your prize NOW!,spam
WINNER! You've won $500! Click secure-verify.com to claim your prize NOW!,spam
Reminder: the meeting is scheduled for Tuesday at 2pm.,ham
FREE iPhone! Limited time offer. Text CLAIM to 12345 now!,spam
"Hey, are you free for coffee this Friday?",ham
URGENT: Your credit card has been flagged. Verify at secure-verify.com immediately.,spam
Reminder: the conference is scheduled for Monday at 2pm.,ham
Happy birthday! Hope you have a great day.,ham
Meeting scheduled for 2pm tomorrow. See you there!,ham
URGENT: Your credit card has been locked. Verify at claim-now.net immediately.,spam
URGENT: Your email account has been flagged. Verify at claim-now.net immediately.,spam
Thanks for helping. Really appreciate it!,ham
Get gift card for only $10000! Offer expires soon. Order at claim-now.net.,spam
ALERT: Suspicious activity on your credit card. Confirm identity at tinyurl.com/abc.,spam
Reminder: the party is scheduled for Tuesday at 2pm.,ham
You have 2500 unclaimed. Click here: tinyurl.com/abc,spam
Can you pick up the package on your way home?,ham
Hot singles in your area! Click secure-verify.com to meet them today!,spam
Congratulations! You've been selected for a vacation package. Reply with credit card to confirm.,spam
Looking forward to seeing you at the conference!,ham
Reminder: the conference is scheduled for the weekend at 2pm.,ham
You have 2500 unclaimed. Click here: claim-now.net,spam
Reminder: dinner is scheduled for Monday at 3:30pm.,ham
WINNER! You've won $10000! Click tinyurl.com/abc to claim your prize NOW!,spam
URGENT: Your bank account has been compromised. Verify at bit.ly/xyz123 immediately.,spam
Meeting scheduled for 10am tomorrow. See you there!,ham
Thanks for coming. Really appreciate it!,ham
Looking forward to seeing you at the conference!,ham
Make $750 from home! vacation package. Visit tinyurl.com/abc for details.,spam
FREE gift card! Limited time offer. Text WIN to 12345 now!,spam
Can you pick up the package on your way home?,ham
Hot singles in your area! Click tinyurl.com/abc to meet them today!,spam
URGENT: Your PayPal account has been suspended. Verify at tinyurl.com/abc immediately.,spam
Please review the contract when you get a chance.,ham
You have 500 unclaimed. Click here: secure-verify.com,spam
WINNER! You've won $1000! Click bit.ly/xyz123 to claim your prize NOW!,spam
Meeting scheduled for noon tomorrow. See you there!,ham
Your loan has been approved for $5000! Call 555-0100 now.,spam
Hot singles in your area! Click bit.ly/xyz123 to meet them today!,spam
Meeting scheduled for 2pm tomorrow. See you there!,ham
Happy birthday! Hope you have a great day.,ham
Thanks for coming. Really appreciate it!,ham
"Hey, are you free for coffee this Monday?",ham
Meeting scheduled for noon tomorrow. See you there!,ham
Meeting scheduled for 2pm tomorrow. See you there!,ham
FREE vacation! Limited time offer. Text CONFIRM to 12345 now!,spam
ALERT: Suspicious activity on your credit card. Confirm identity at tinyurl.com/abc.,spam
The report is ready. I'll send it by noon.,ham
URGENT: Your bank account has been suspended. Verify at tinyurl.com/abc immediately.,spam
WINNER! You've won $500! Click claim-now.net to claim your prize NOW!,spam
FREE vacation! Limited time offer. Text CLAIM to 555-0100 now!,spam
ALERT: Suspicious activity on your email account. Confirm identity at tinyurl.com/abc.,spam
Get iPhone for only $5000! Offer expires soon. Order at tinyurl.com/abc.,spam
Hot singles in your area! Click tinyurl.com/abc to meet them today!,spam
"Hey, are you free for lunch this Monday?",ham
The report is ready. I'll send it by 2pm.,ham
ALERT: Suspicious activity on your email account. Confirm identity at secure-verify.com.,spam
Congratulations! You've been selected for a cash reward. Reply with account number to confirm.,spam
WINNER! You've won $2500! Click claim-now.net to claim your prize NOW!,spam
Make $1000 from home! gift card. Visit tinyurl.com/abc for details.,spam
FREE gift card! Limited time offer. Text YES to 555-0100 now!,spam
Your loan has been approved for $750! Call 12345 now.,spam
You have 750 unclaimed. Click here: tinyurl.com/abc,spam
FREE vacation! Limited time offer. Text CLAIM to 88888 now!,spam
Make $750 from home! gift card. Visit claim-now.net for details.,spam
Meeting scheduled for 2pm tomorrow. See you there!,ham
You have 10000 unclaimed. Click here: secure-verify.com,spam
The report is ready. I'll send it by 2pm.,ham
ALERT: Suspicious activity on your email account. Confirm identity at secure-verify.com.,spam
URGENT: Your email account has been compromised. Verify at bit.ly/xyz123 immediately.,spam
The report is ready. I'll send it by 2pm.,ham
URGENT: Your credit card has been compromised. Verify at claim-now.net immediately.,spam
You have 2500 unclaimed. Click here: bit.ly/xyz123,spam
Hot singles in your area! Click tinyurl.com/abc to meet them today!,spam
URGENT: Your email account has been locked. Verify at bit.ly/xyz123 immediately.,spam
You have 10000 unclaimed. Click here: secure-verify.com,spam
Make $750 from home! vacation package. Visit claim-now.net for details.,spam
URGENT: Your email account has been compromised. Verify at secure-verify.com immediately.,spam
Thanks for helping. Really appreciate it!,ham
Meeting scheduled for 3:30pm tomorrow. See you there!,ham
Thanks for coming. Really appreciate it!,ham
URGENT: Your email account has been compromised. Verify at tinyurl.com/abc immediately.,spam
Make $5000 from home! vacation package. Visit bit.ly/xyz123 for details.,spam
Reminder: the meeting is scheduled for next week at 10am.,ham
FREE gift card! Limited time offer. Text YES to 555-0100 now!,spam
Get laptop for only $500! Offer expires soon. Order at claim-now.net.,spam
Looking forward to seeing you at the meeting!,ham
Hot singles in your area! Click claim-now.net to meet them today!,spam
Happy Monday! Hope you have a great day.,ham
WINNER! You've won $1000! Click bit.ly/xyz123 to claim your prize NOW!,spam
You have 500 unclaimed. Click here: claim-now.net,spam
FREE vacation! Limited time offer. Text YES to 555-0100 now!,spam
URGENT: Your email account has been compromised. Verify at claim-now.net immediately.,spam
Make $750 from home! vacation package. Visit bit.ly/xyz123 for details.,spam
Happy anniversary! Hope you have a great day.,ham
Just finished lunch. How did yours go?,ham
Get laptop for only $1000! Offer expires soon. Order at bit.ly/xyz123.,spam
Your loan has been approved for $2500! Call 12345 now.,spam
The report is ready. I'll send it by noon.,ham
"Hey, are you free for a movie this the weekend?",ham
"Hey, are you free for dinner this the weekend?",ham
FREE vacation! Limited time offer. Text CONFIRM to 12345 now!,spam
Can you pick up milk on your way home?,ham
FREE vacation! Limited time offer. Text CLAIM to 12345 now!,spam
Make $1000 from home! cash reward. Visit claim-now.net for details.,spam
Please review the contract when you get a chance.,ham
WINNER! You've won $1000! Click tinyurl.com/abc to claim your prize NOW!,spam
Looking forward to seeing you at the meeting!,ham
Happy Monday! Hope you have a great day.,ham
The report is ready. I'll send it by noon.,ham
You have 1000 unclaimed. Click here: secure-verify.com,spam
The report is ready. I'll send it by 2pm.,ham
Just finished a movie. How did yours go?,ham
WINNER! You've won $500! Click bit.ly/xyz123 to claim your prize NOW!,spam
Reminder: the conference is scheduled for Tuesday at 10am.,ham
"Hey, are you free for lunch this Monday?",ham
Your loan has been approved for $5000! Call 88888 now.,spam
Your loan has been approved for $750! Call 88888 now.,spam
Reminder: the conference is scheduled for Tuesday at 10am.,ham
You have 2500 unclaimed. Click here: tinyurl.com/abc,spam
Can you pick up the package on your way home?,ham
You have 10000 unclaimed. Click here: claim-now.net,spam
Hot singles in your area! Click bit.ly/xyz123 to meet them today!,spam
You have 500 unclaimed. Click here: tinyurl.com/abc,spam
Meeting scheduled for 2pm tomorrow. See you there!,ham
Happy Monday! Hope you have a great day.,ham
URGENT: Your credit card has been flagged. Verify at claim-now.net immediately.,spam
Can you pick up dinner on your way home?,ham
Hot singles in your area! Click bit.ly/xyz123 to meet them today!,spam
Hot singles in your area! Click bit.ly/xyz123 to meet them today!,spam
Your loan has been approved for $10000! Call 12345 now.,spam
Just finished a movie. How did yours go?,ham
Make $5000 from home! free iPhone. Visit bit.ly/xyz123 for details.,spam
Congratulations! You've been selected for a free iPhone. Reply with bank details to confirm.,spam
Can you pick up dinner on your way home?,ham
FREE iPhone! Limited time offer. Text CONFIRM to 12345 now!,spam
ALERT: Suspicious activity on your PayPal account. Confirm identity at secure-verify.com.,spam
Make $1000 from home! free iPhone. Visit bit.ly/xyz123 for details.,spam
Congratulations! You've been selected for a free iPhone. Reply with credit card to confirm.,spam
Just finished dinner. How did yours go?,ham
Please review the budget when you get a chance.,ham
Get gift card for only $1000! Offer expires soon. Order at claim-now.net.,spam
Meeting scheduled for noon tomorrow. See you there!,ham
You have 1000 unclaimed. Click here: claim-now.net,spam
URGENT: Your PayPal account has been compromised. Verify at claim-now.net immediately.,spam
Happy Monday! Hope you have a great day.,ham
The report is ready. I'll send it by 3:30pm.,ham
WINNER! You've won $2500! Click claim-now.net to claim your prize NOW!,spam
FREE vacation! Limited time offer. Text WIN to 88888 now!,spam
WINNER! You've won $750! Click bit.ly/xyz123 to claim your prize NOW!,spam
Congratulations! You've been selected for a gift card. Reply with bank details to confirm.,spam
ALERT: Suspicious activity on your email account. Confirm identity at tinyurl.com/abc.,spam
Meeting scheduled for noon tomorrow. See you there!,ham
Just finished a movie. How did yours go?,ham
Happy birthday! Hope you have a great day.,ham
URGENT: Your bank account has been flagged. Verify at tinyurl.com/abc immediately.,spam
The report is ready. I'll send it by 2pm.,ham
Looking forward to seeing you at the conference!,ham
